index,Y,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,3.000000000000001,Prepackaged software,72268924051.90823,ENS1,0.55,0.11256167665586475,0.16293844723738576,0.14680327972379717,Equipment,-0.3299506883444064,0.056962771412890516,-0.026834118917004046,0.01064013690108019,0.14928491744692754,0.11922200952019758,Computers and Software,0.036091563710345505,0.06150340436389513,0.053367918917417004,corporate,0.0003840191788521338,0.009181530643169088,0.006362630537245423,0.5860915637103455,0.6115034043638952,0.603367918917417,0.9847159651629047,0.9783232342772791,0.980335805457376
1,3.0000000000000004,Custom software,197240164682.67053,ENS2,0.3300000000000001,0.10903106460849583,0.1579311143554368,0.1422608507844509,Equipment,-0.3637240032211766,0.03711626526593882,-0.04944781899599317,-0.014484074451803585,0.13138135902592032,0.09982486547721232,Computers and Software,0.03519773787556857,0.06023572515327514,0.05221793690745593,corporate,-0.0005098066559248021,0.0079138514325491,0.005212648527284348,0.3651977378755687,0.39023572515327526,0.38221793690745604,0.9847159651629049,0.9783232342772791,0.980335805457376
2,5.000000000000001,Mainframes,17413293619.145626,EP1A,0.4633,0.11373366751893671,0.16458713972075817,0.1483036209626733,Equipment,-0.31910639499281174,0.06331951769189344,-0.01957752307040253,0.018707284562843596,0.15501934634493938,0.12544643252070597,Computers and Software,0.03638827025795866,0.06192079486601472,0.05374775214244893,corporate,0.0006807257264652908,0.00959892114528868,0.0067424637622773495,0.49968827025795864,0.5252207948660147,0.5170477521424489,0.9798040751087211,0.9717060102111788,0.9742333778604453
3,5.0,PCs,53550810952.93879,EP1B,0.46330000000000005,0.11373366751893667,0.1645871397207581,0.14830362096267316,Equipment,-0.31910639499281196,0.06331951769189323,-0.019577523070403058,0.01870728456284341,0.1550193463449392,0.12544643252070553,Computers and Software,0.036388270257958655,0.061920794866014706,0.0537477521424489,corporate,0.0006807257264652838,0.009598921145288666,0.006742463762277322,0.4996882702579587,0.5252207948660148,0.5170477521424489,0.9798040751087213,0.9717060102111785,0.9742333778604452
4,5.0,DASDs,0.0,EP1C,0.46330000000000005,0.11373366751893667,0.16458713972075817,0.1483036209626733,Equipment,-0.31910639499281196,0.06331951769189344,-0.01957752307040253,0.01870728456284341,0.15501934634493938,0.12544643252070597,Computers and Software,0.036388270257958655,0.06192079486601472,0.05374775214244893,corporate,0.0006807257264652838,0.00959892114528868,0.0067424637622773495,0.4996882702579587,0.5252207948660148,0.517047752142449,0.9798040751087208,0.9717060102111785,0.974233377860445
5,5.0,Printers,9260043911.05631,EP1D,0.4632999999999999,0.1137336675189366,0.16458713972075803,0.14830362096267322,Equipment,-0.31910639499281246,0.06331951769189291,-0.019577523070402794,0.018707284562843034,0.1550193463449389,0.12544643252070575,Computers and Software,0.03638827025795864,0.061920794866014685,0.05374775214244892,corporate,0.00068072572646527,0.009598921145288646,0.006742463762277336,0.49968827025795853,0.5252207948660146,0.5170477521424488,0.9798040751087208,0.9717060102111784,0.9742333778604452
6,5.000000000000001,Terminals,12396994618.63852,EP1E,0.4633,0.11373366751893667,0.16458713972075817,0.14830362096267324,Equipment,-0.31910639499281196,0.06331951769189355,-0.019577523070402662,0.01870728456284341,0.15501934634493947,0.12544643252070586,Computers and Software,0.036388270257958655,0.061920794866014726,0.053747752142448924,corporate,0.0006807257264652838,0.009598921145288687,0.0067424637622773426,0.49968827025795864,0.5252207948660147,0.5170477521424489,0.9798040751087211,0.9717060102111785,0.9742333778604451
7,5.0,Tape drives,0.0,EP1F,0.46330000000000005,0.11373366751893667,0.16458713972075817,0.1483036209626733,Equipment,-0.31910639499281196,0.06331951769189344,-0.01957752307040253,0.01870728456284341,0.15501934634493938,0.12544643252070597,Computers and Software,0.036388270257958655,0.06192079486601472,0.05374775214244893,corporate,0.0006807257264652838,0.00959892114528868,0.0067424637622773495,0.4996882702579587,0.5252207948660148,0.517047752142449,0.9798040751087208,0.9717060102111785,0.974233377860445
8,5.000000000000002,Storage devices,7998988409.072316,EP1G,0.4633,0.11373366751893667,0.16458713972075814,0.14830362096267324,Equipment,-0.31910639499281196,0.06331951769189334,-0.019577523070402662,0.01870728456284341,0.1550193463449393,0.12544643252070586,Computers and Software,0.036388270257958655,0.06192079486601471,0.053747752142448924,corporate,0.0006807257264652838,0.009598921145288673,0.0067424637622773426,0.49968827025795864,0.5252207948660147,0.5170477521424489,0.979804075108721,0.9717060102111785,0.9742333778604453
9,5.0,System integrators,28310184525.09714,EP1H,0.46330000000000005,0.11373366751893667,0.16458713972075814,0.14830362096267333,Equipment,-0.31910639499281196,0.06331951769189334,-0.0195775230704024,0.01870728456284341,0.1550193463449393,0.12544643252070609,Computers and Software,0.036388270257958655,0.06192079486601471,0.05374775214244894,corporate,0.0006807257264652838,0.009598921145288673,0.0067424637622773564,0.4996882702579587,0.5252207948660148,0.517047752142449,0.9798040751087211,0.9717060102111786,0.9742333778604448
