index,Y,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_adjusted_q_d,tax_adjusted_q_e,tax_adjusted_q_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,3.000000000000001,Prepackaged software,72268924051.90823,ENS1,0.55,0.22053598277109016,0.3061601968224388,0.2786405535390636,Equipment,-0.4113051342119214,0.23423850633346072,0.12110386154434215,-0.009822483993081953,0.3109188006505845,0.254524747040522,Computers and Software,0.03401107162187389,0.07574159902228884,0.06235093955048111,0.7204121812729948,0.6858585933741491,0.6966666801035079,corporate,-0.00033407320659342016,0.023549487127367534,0.015869857116825085,0.5840110716218739,0.6257415990222889,0.6123509395504811,0.9682679178274466,0.945808085693197,0.9528333420672801
1,3.0000000000000004,Custom software,197240164682.67053,ENS2,0.3300000000000001,0.20831913113465728,0.28529630981431936,0.2604813902349664,Equipment,-0.5866698393249972,0.16332406795586435,0.03459096999886403,-0.13530011305370793,0.24710545060284295,0.181144950626301,Computers and Software,0.03025204034912532,0.06932194148132903,0.05676350468768199,0.7204121812729943,0.6858585933741495,0.6966666801035076,corporate,-0.00409310447934199,0.01712982958640772,0.01028242225402596,0.36025204034912545,0.39932194148132916,0.3867635046876821,0.9682679178274464,0.9458080856931972,0.95283334206728
2,5.000000000000001,Mainframes,17413293619.145626,EP1A,0.4633,0.2245986660616388,0.3130297488364926,0.284645025043358,Equipment,-0.3612723896462525,0.25502830846262126,0.14639709255953032,0.02597713805428488,0.3296267951160745,0.2759783374753846,Computers and Software,0.0352611280189658,0.07785530733430542,0.06419846924411016,0.7044036453100909,0.6604077315814565,0.6740019877824063,corporate,0.0009159831904984872,0.025663195439384105,0.01771738681045413,0.4985611280189658,0.5411553073343054,0.5274984692441101,0.9578623694515591,0.9292650255279468,0.9381012920585641
3,5.0,PCs,53550810952.93879,EP1B,0.46330000000000005,0.22459866606163886,0.3130297488364926,0.2846450250433581,Equipment,-0.36127238964625225,0.2550283084626211,0.1463970925595305,0.02597713805428507,0.3296267951160744,0.2759783374753847,Computers and Software,0.035261128018965804,0.0778553073343054,0.06419846924411017,0.7044036453100907,0.660407731581456,0.6740019877824057,corporate,0.0009159831904984941,0.02566319543938409,0.017717386810454143,0.49856112801896585,0.5411553073343054,0.5274984692441103,0.957862369451559,0.9292650255279464,0.9381012920585637
4,5.0,DASDs,0.0,EP1C,0.46330000000000005,0.22459866606163886,0.3130297488364925,0.2846450250433581,Equipment,-0.36127238964625225,0.25502830846262087,0.1463970925595305,0.02597713805428507,0.3296267951160742,0.2759783374753847,Computers and Software,0.035261128018965804,0.07785530733430537,0.06419846924411017,0.7044036453100909,0.6604077315814564,0.6740019877824056,corporate,0.0009159831904984941,0.025663195439384064,0.017717386810454143,0.49856112801896585,0.5411553073343054,0.5274984692441103,0.9578623694515591,0.9292650255279467,0.9381012920585636
5,5.0,Printers,9260043911.05631,EP1D,0.4632999999999999,0.2245986660616388,0.3130297488364925,0.2846450250433579,Equipment,-0.3612723896462525,0.255028308462621,0.14639709255952996,0.02597713805428488,0.3296267951160743,0.27597833747538425,Computers and Software,0.0352611280189658,0.07785530733430539,0.06419846924411013,0.7044036453100904,0.6604077315814558,0.6740019877824057,corporate,0.0009159831904984872,0.025663195439384077,0.0177173868104541,0.4985611280189657,0.5411553073343053,0.52749846924411,0.9578623694515588,0.9292650255279463,0.9381012920585637
6,5.000000000000001,Terminals,12396994618.63852,EP1E,0.4633,0.22459866606163886,0.3130297488364926,0.2846450250433579,Equipment,-0.361272389646252,0.2550283084626211,0.14639709255953015,0.025977138054285264,0.3296267951160744,0.2759783374753844,Computers and Software,0.03526112801896581,0.0778553073343054,0.06419846924411014,0.7044036453100907,0.660407731581456,0.6740019877824059,corporate,0.0009159831904985011,0.02566319543938409,0.017717386810454115,0.4985611280189658,0.5411553073343054,0.5274984692441101,0.957862369451559,0.9292650255279464,0.9381012920585639
7,5.0,Tape drives,0.0,EP1F,0.46330000000000005,0.22459866606163886,0.3130297488364925,0.2846450250433581,Equipment,-0.36127238964625225,0.25502830846262087,0.1463970925595305,0.02597713805428507,0.3296267951160742,0.2759783374753847,Computers and Software,0.035261128018965804,0.07785530733430537,0.06419846924411017,0.7044036453100909,0.6604077315814564,0.6740019877824056,corporate,0.0009159831904984941,0.025663195439384064,0.017717386810454143,0.49856112801896585,0.5411553073343054,0.5274984692441103,0.9578623694515591,0.9292650255279467,0.9381012920585636
8,5.000000000000002,Storage devices,7998988409.072316,EP1G,0.4633,0.2245986660616388,0.3130297488364926,0.284645025043358,Equipment,-0.3612723896462525,0.25502830846262126,0.14639709255953032,0.02597713805428488,0.3296267951160745,0.2759783374753846,Computers and Software,0.0352611280189658,0.07785530733430542,0.06419846924411016,0.7044036453100909,0.6604077315814562,0.674001987782406,corporate,0.0009159831904984872,0.025663195439384105,0.01771738681045413,0.4985611280189658,0.5411553073343054,0.5274984692441101,0.9578623694515591,0.9292650255279465,0.938101292058564
9,5.0,System integrators,28310184525.09714,EP1H,0.46330000000000005,0.22459866606163886,0.3130297488364926,0.2846450250433581,Equipment,-0.36127238964625225,0.25502830846262126,0.1463970925595305,0.02597713805428507,0.3296267951160745,0.2759783374753847,Computers and Software,0.035261128018965804,0.07785530733430542,0.06419846924411017,0.7044036453100911,0.6604077315814564,0.674001987782406,corporate,0.0009159831904984941,0.025663195439384105,0.017717386810454143,0.49856112801896585,0.5411553073343055,0.5274984692441103,0.9578623694515592,0.9292650255279467,0.938101292058564
