index,Y,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,3.000000000000001,Prepackaged software,72268924051.90823,ENS1,0.55,0.10424399999999988,0.1491000000000002,0.1347460800000002,Equipment,-0.436430317848412,9.570888143320306e-16,-0.09155606847470564,-0.0588059616772544,0.10101302003231398,0.0674855655119766,Computers and Software,0.03271999999999997,0.05800000000000005,0.049910400000000035,corporate,-0.0019241310660797623,0.005858755161874216,0.003368231568928959,0.58272,0.6080000000000001,0.5999104000000001,1.0,1.0,1.0
1,3.0000000000000004,Custom software,197240164682.67053,ENS2,0.3300000000000001,0.10424400000000018,0.14910000000000007,0.13474608,Equipment,-0.43643031784840897,3.589083053745117e-16,-0.091556068474707,-0.058805961677252154,0.10101302003231344,0.06748556551197542,Computers and Software,0.03272000000000004,0.05800000000000002,0.04991039999999997,corporate,-0.0019241310660796929,0.005858755161874181,0.0033682315689288964,0.36272000000000015,0.3880000000000001,0.3799104000000001,1.0,1.0,1.0
2,5.000000000000001,Mainframes,17413293619.145626,EP1A,0.4633,0.10424400000000013,0.14910000000000004,0.13474608000000002,Equipment,-0.4364303178484093,1.1963610179150392e-16,-0.09155606847470685,-0.058805961677252376,0.10101302003231322,0.06748556551197556,Computers and Software,0.032720000000000034,0.058,0.04991039999999998,corporate,-0.0019241310660796998,0.005858755161874167,0.0033682315689289033,0.49602,0.5213,0.5132104,1.0,1.0,1.0
3,5.0,PCs,53550810952.93879,EP1B,0.46330000000000005,0.10424400000000007,0.1491,0.13474608,Equipment,-0.4364303178484099,0.0,-0.091556068474707,-0.05880596167725283,0.10101302003231312,0.06748556551197542,Computers and Software,0.03272000000000002,0.057999999999999996,0.04991039999999997,corporate,-0.0019241310660797137,0.00585875516187416,0.0033682315689288964,0.49602000000000007,0.5213000000000001,0.5132104000000001,1.0,1.0,1.0
4,5.0,DASDs,0.0,EP1C,0.46330000000000005,0.1042440000000001,0.14910000000000007,0.13474607999999993,Equipment,-0.4364303178484096,2.3927220358300785e-16,-0.09155606847470715,-0.058805961677252605,0.10101302003231333,0.06748556551197529,Computers and Software,0.03272000000000003,0.05800000000000001,0.049910399999999966,corporate,-0.0019241310660797067,0.005858755161874174,0.0033682315689288894,0.49602000000000007,0.5213000000000001,0.5132104,1.0,1.0,1.0
5,5.0,Printers,9260043911.05631,EP1D,0.4632999999999999,0.10424400000000003,0.14909999999999993,0.1347460799999999,Equipment,-0.4364303178484102,-3.5890830537451197e-16,-0.0915560684747073,-0.05880596167725305,0.10101302003231279,0.06748556551197517,Computers and Software,0.03272000000000001,0.057999999999999975,0.04991039999999996,corporate,-0.0019241310660797206,0.005858755161874139,0.0033682315689288825,0.4960199999999999,0.5212999999999999,0.5132103999999998,1.0,1.0,1.0
6,5.000000000000001,Terminals,12396994618.63852,EP1E,0.4633,0.1042440000000001,0.14910000000000004,0.13474608,Equipment,-0.4364303178484096,1.1963610179150392e-16,-0.091556068474707,-0.058805961677252605,0.10101302003231322,0.06748556551197542,Computers and Software,0.03272000000000003,0.058,0.04991039999999997,corporate,-0.0019241310660797067,0.005858755161874167,0.0033682315689288964,0.49602,0.5213,0.5132104,1.0,1.0,1.0
7,5.0,Tape drives,0.0,EP1F,0.46330000000000005,0.1042440000000001,0.14910000000000007,0.13474607999999993,Equipment,-0.4364303178484096,2.3927220358300785e-16,-0.09155606847470715,-0.058805961677252605,0.10101302003231333,0.06748556551197529,Computers and Software,0.03272000000000003,0.05800000000000001,0.049910399999999966,corporate,-0.0019241310660797067,0.005858755161874174,0.0033682315689288894,0.49602000000000007,0.5213000000000001,0.5132104,1.0,1.0,1.0
8,5.000000000000002,Storage devices,7998988409.072316,EP1G,0.4633,0.10424400000000013,0.14910000000000004,0.1347460799999999,Equipment,-0.4364303178484093,1.1963610179150392e-16,-0.0915560684747073,-0.058805961677252376,0.10101302003231322,0.06748556551197517,Computers and Software,0.032720000000000034,0.058,0.04991039999999996,corporate,-0.0019241310660796998,0.005858755161874167,0.0033682315689288825,0.49602,0.5213,0.5132104,1.0,1.0,1.0
9,5.0,System integrators,28310184525.09714,EP1H,0.46330000000000005,0.10424400000000013,0.14910000000000004,0.13474608,Equipment,-0.4364303178484093,1.1963610179150392e-16,-0.091556068474707,-0.058805961677252376,0.10101302003231322,0.06748556551197542,Computers and Software,0.032720000000000034,0.058,0.04991039999999997,corporate,-0.0019241310660796998,0.005858755161874167,0.0033682315689288964,0.49602000000000007,0.5213000000000001,0.5132104000000001,1.0,1.0,1.0
10,7.000000000000001,Special industrial machinery,277678587239.93805,EI40,0.1031,0.10424400000000002,0.14910000000000004,0.13474608000000007,Equipment,-0.4364303178484105,1.1963610179150392e-16,-0.09155606847470639,-0.05880596167725328,0.10101302003231322,0.06748556551197595,Industrial Machinery,0.032720000000000006,0.058,0.0499104,corporate,-0.0019241310660797276,0.005858755161874167,0.003368231568928924,0.13582,0.1611,0.1530104,1.0,1.0,1.0
