index,Y,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_adjusted_q_d,tax_adjusted_q_e,tax_adjusted_q_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,3.000000000000001,Prepackaged software,72268924051.90823,ENS1,0.55,0.3323249999999998,0.2485000000000001,0.27532400000000007,Equipment,0.49790794979079595,7.17816610749023e-16,-0.11977856064418617,0.228941032402144,0.12686976326751384,0.10231512479426141,Computers and Software,-0.02390000000000004,0.05800000000000005,0.031792000000000036,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.00547169067441125,0.00735844626951581,0.0032528024474591626,0.5261,0.6080000000000001,0.5817920000000001,1.0,1.0,1.0
1,3.0000000000000004,Custom software,197240164682.67053,ENS2,0.3300000000000001,0.33232500000000004,0.24849999999999997,0.2753239999999999,Equipment,0.4979079497907947,1.196361017915039e-16,-0.11977856064418789,0.2289410324021421,0.12686976326751334,0.10231512479426004,Computers and Software,-0.02389999999999998,0.05800000000000002,0.03179199999999999,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411191,0.007358446269515775,0.003252802447459114,0.30610000000000015,0.3880000000000001,0.3617920000000001,1.0,1.0,1.0
2,5.000000000000001,Mainframes,17413293619.145626,EP1A,0.4633,0.33232500000000015,0.24849999999999997,0.27532399999999996,Equipment,0.4979079497907936,-1.1963610179150392e-16,-0.11977856064418764,0.22894103240214042,0.12686976326751312,0.10231512479426023,Computers and Software,-0.023899999999999928,0.058,0.031791999999999994,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411139,0.0073584462695157615,0.003252802447459121,0.43940000000000007,0.5213,0.495092,1.0,1.0,1.0
3,5.0,PCs,53550810952.93879,EP1B,0.46330000000000005,0.3323250000000002,0.24849999999999994,0.2753239999999999,Equipment,0.49790794979079334,-2.392722035830079e-16,-0.11977856064418789,0.22894103240213995,0.126869763267513,0.10231512479426004,Computers and Software,-0.023899999999999914,0.057999999999999996,0.03179199999999999,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.0054716906744111254,0.007358446269515755,0.003252802447459114,0.4394000000000001,0.5213000000000001,0.49509200000000003,1.0,1.0,1.0
4,5.0,DASDs,0.0,EP1C,0.46330000000000005,0.3323250000000002,0.2485,0.2753239999999999,Equipment,0.49790794979079345,0.0,-0.11977856064418789,0.22894103240214017,0.12686976326751323,0.10231512479426004,Computers and Software,-0.02389999999999992,0.05800000000000001,0.03179199999999999,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411132,0.0073584462695157685,0.003252802447459114,0.4394000000000001,0.5213000000000001,0.49509200000000003,1.0,1.0,1.0
5,5.0,Printers,9260043911.05631,EP1D,0.4632999999999999,0.3323250000000002,0.2484999999999999,0.2753239999999999,Equipment,0.49790794979079334,-5.981805089575199e-16,-0.11977856064418813,0.22894103240213995,0.1268697632675127,0.10231512479425985,Computers and Software,-0.023899999999999914,0.057999999999999975,0.03179199999999998,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.0054716906744111254,0.007358446269515734,0.003252802447459107,0.43939999999999996,0.5212999999999999,0.49509199999999987,1.0,1.0,1.0
6,5.000000000000001,Terminals,12396994618.63852,EP1E,0.4633,0.33232500000000015,0.24849999999999997,0.27532399999999996,Equipment,0.49790794979079356,-1.1963610179150392e-16,-0.11977856064418764,0.2289410324021403,0.12686976326751312,0.10231512479426023,Computers and Software,-0.023899999999999925,0.058,0.031791999999999994,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411136,0.0073584462695157615,0.003252802447459121,0.43940000000000007,0.5213,0.495092,1.0,1.0,1.0
7,5.0,Tape drives,0.0,EP1F,0.46330000000000005,0.3323250000000002,0.2485,0.2753239999999999,Equipment,0.49790794979079345,0.0,-0.11977856064418789,0.22894103240214017,0.12686976326751323,0.10231512479426004,Computers and Software,-0.02389999999999992,0.05800000000000001,0.03179199999999999,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411132,0.0073584462695157685,0.003252802447459114,0.4394000000000001,0.5213000000000001,0.49509200000000003,1.0,1.0,1.0
8,5.000000000000002,Storage devices,7998988409.072316,EP1G,0.4633,0.3323250000000002,0.24849999999999997,0.27532399999999996,Equipment,0.49790794979079345,-1.1963610179150392e-16,-0.11977856064418764,0.22894103240214017,0.12686976326751312,0.10231512479426023,Computers and Software,-0.02389999999999992,0.058,0.031791999999999994,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411132,0.0073584462695157615,0.003252802447459121,0.43940000000000007,0.5213,0.495092,1.0,1.0,1.0
9,5.0,System integrators,28310184525.09714,EP1H,0.46330000000000005,0.3323250000000002,0.24849999999999997,0.27532399999999996,Equipment,0.49790794979079345,-1.1963610179150392e-16,-0.11977856064418764,0.22894103240214017,0.12686976326751312,0.10231512479426023,Computers and Software,-0.02389999999999992,0.058,0.031791999999999994,0.7692307692307692,0.7692307692307692,0.7692307692307692,corporate,-0.005471690674411132,0.0073584462695157615,0.003252802447459121,0.4394000000000001,0.5213000000000001,0.49509200000000003,1.0,1.0,1.0
