index,Y,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_adjusted_q_d,tax_adjusted_q_e,tax_adjusted_q_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,3.000000000000001,Prepackaged software,72268924051.90823,ENS1,0.55,0.26114056405668185,0.3041027927999498,0.2901552611057353,Equipment,-0.461894509539412,0.22778433692693603,0.14369931099690308,-0.039323528877704475,0.30120744161932844,0.259354073137983,Computers and Software,0.02188940432513287,0.0751085516307538,0.05801700341714933,0.7336238226323911,0.6888334401388819,0.7027539237611506,corporate,-0.0008607686230951116,0.022623254680432595,0.015046946147497957,0.5718894043251329,0.6251085516307539,0.6080170034171494,0.9768554847110542,0.9477417360902732,0.956790050444748
1,3.0000000000000004,Custom software,197240164682.67053,ENS2,0.3300000000000001,0.2522299256704377,0.28398336119470463,0.27351943052696315,Equipment,-0.6712216651321684,0.15841962994679587,0.06083914130533771,-0.18814318489319937,0.23843800638269616,0.18768526804499597,Computers and Software,0.01914766943705776,0.06891795729067836,0.05289828631598865,0.7336238226323909,0.6888334401388823,0.702753923761151,corporate,-0.0036025035111702207,0.016432660340357147,0.009928229046337271,0.3491476694370579,0.39891795729067847,0.38289828631598877,0.9768554847110541,0.9477417360902735,0.9567900504447482
2,5.000000000000001,Mainframes,17413293619.145626,EP1A,0.4633,0.264147886218714,0.31081997267068373,0.2957384214298982,Equipment,-0.4026023573110528,0.24846495279906308,0.16832536902901588,0.002829806049415324,0.31992172205319247,0.2806540555044412,Computers and Software,0.022814734221142774,0.07717537620636424,0.05973489890150715,0.7216382072962735,0.6641343004775744,0.6817253847602063,corporate,6.456127291479263e-05,0.024690079256043024,0.01676484163185577,0.48611473422114276,0.5404753762063642,0.5230348989015071,0.9690648347425778,0.9316872953104234,0.9431215000941341
3,5.0,PCs,53550810952.93879,EP1B,0.46330000000000005,0.26414788621871405,0.3108199726706836,0.2957384214298981,Equipment,-0.4026023573110526,0.2484649527990628,0.1683253690290155,0.002829806049415476,0.31992172205319225,0.2806540555044409,Computers and Software,0.022814734221142777,0.07717537620636421,0.05973489890150712,0.7216382072962733,0.6641343004775746,0.6817253847602063,corporate,6.45612729147961e-05,0.024690079256042996,0.016764841631855744,0.4861147342211428,0.5404753762063642,0.5230348989015071,0.9690648347425777,0.9316872953104235,0.9431215000941341
4,5.0,DASDs,0.0,EP1C,0.46330000000000005,0.264147886218714,0.31081997267068373,0.2957384214298982,Equipment,-0.4026023573110528,0.24846495279906308,0.1683253690290158,0.002829806049415324,0.31992172205319247,0.2806540555044411,Computers and Software,0.022814734221142774,0.07717537620636424,0.05973489890150714,0.7216382072962728,0.6641343004775744,0.681725384760206,corporate,6.456127291479263e-05,0.024690079256043024,0.016764841631855765,0.4861147342211428,0.5404753762063643,0.5230348989015072,0.9690648347425773,0.9316872953104234,0.943121500094134
5,5.0,Printers,9260043911.05631,EP1D,0.4632999999999999,0.264147886218714,0.31081997267068356,0.2957384214298981,Equipment,-0.4026023573110532,0.24846495279906267,0.1683253690290155,0.002829806049415021,0.31992172205319214,0.2806540555044409,Computers and Software,0.022814734221142767,0.0771753762063642,0.05973489890150712,0.7216382072962728,0.6641343004775743,0.681725384760206,corporate,6.45612729147857e-05,0.024690079256042982,0.016764841631855744,0.48611473422114265,0.5404753762063641,0.523034898901507,0.9690648347425773,0.9316872953104233,0.943121500094134
6,5.000000000000001,Terminals,12396994618.63852,EP1E,0.4633,0.26414788621871405,0.3108199726706836,0.29573842142989815,Equipment,-0.4026023573110526,0.2484649527990628,0.16832536902901568,0.002829806049415476,0.31992172205319225,0.28065405550444106,Computers and Software,0.022814734221142777,0.07717537620636421,0.059734898901507134,0.7216382072962731,0.6641343004775743,0.681725384760206,corporate,6.45612729147961e-05,0.024690079256042996,0.016764841631855758,0.48611473422114276,0.5404753762063642,0.5230348989015071,0.9690648347425775,0.9316872953104233,0.943121500094134
7,5.0,Tape drives,0.0,EP1F,0.46330000000000005,0.264147886218714,0.31081997267068373,0.2957384214298982,Equipment,-0.4026023573110528,0.24846495279906308,0.1683253690290158,0.002829806049415324,0.31992172205319247,0.2806540555044411,Computers and Software,0.022814734221142774,0.07717537620636424,0.05973489890150714,0.7216382072962728,0.6641343004775744,0.681725384760206,corporate,6.456127291479263e-05,0.024690079256043024,0.016764841631855765,0.4861147342211428,0.5404753762063643,0.5230348989015072,0.9690648347425773,0.9316872953104234,0.943121500094134
8,5.000000000000002,Storage devices,7998988409.072316,EP1G,0.4633,0.264147886218714,0.3108199726706837,0.29573842142989815,Equipment,-0.402602357311053,0.24846495279906294,0.1683253690290156,0.0028298060494151723,0.31992172205319236,0.28065405550444095,Computers and Software,0.02281473422114277,0.07717537620636422,0.05973489890150713,0.7216382072962731,0.6641343004775746,0.6817253847602063,corporate,6.456127291478916e-05,0.02469007925604301,0.01676484163185575,0.48611473422114276,0.5404753762063642,0.5230348989015071,0.9690648347425775,0.9316872953104235,0.9431215000941341
9,5.0,System integrators,28310184525.09714,EP1H,0.46330000000000005,0.26414788621871405,0.3108199726706837,0.29573842142989815,Equipment,-0.4026023573110526,0.24846495279906294,0.1683253690290156,0.002829806049415476,0.31992172205319236,0.28065405550444095,Computers and Software,0.022814734221142777,0.07717537620636422,0.05973489890150713,0.7216382072962729,0.6641343004775744,0.6817253847602066,corporate,6.45612729147961e-05,0.02469007925604301,0.01676484163185575,0.4861147342211428,0.5404753762063643,0.5230348989015072,0.9690648347425774,0.9316872953104234,0.9431215000941343
